1,2
2,11
3,5
4,3
5,8
6,8
7,8
8,8
9,5
10,5
11,8
12,5
13,8
14,8
15,9
16,10
17,7
18,4
19,1
20,1
21,6
22,1
23,1
24,1
25,10
26,10
27,10
28,7
29,7
30,7
31,7
32,7
33,5
34,5
35,7
36,3
37,3
38,5
39,7
40,6
41,1
42,1
43,11
44,3
45,3
46,4
47,11
48,1
49,3
50,3
51,6
52,3
53,6
54,7
55,4
56,1
57,3
58,3
59,10
60,5
61,3
62,5
63,2
64,3
65,1
66,8
67,2
68,4
69,4
70,4
71,4
72,4
73,9
74,7
75,5
76,11
77,4
78,4
79,3
80,9
81,9
82,9
83,4
84,3
85,2
86,4
87,11
88,3
89,8
90,3
91,3
92,3
93,3
94,5
95,3
96,5
97,9
98,5
99,4
100,4
101,4
102,3
103,8
104,8
105,4
106,8
107,8
108,8
109,3
110,3
111,3
112,9
113,3
114,9
115,2
116,8
117,3
118,10
119,8
120,8
121,10
122,1
123,8
124,10
125,7
126,7
127,7
128,7
129,7
130,5
131,6
132,7
133,4
134,8
135,2
136,4
137,4
138,3
139,1
140,10
141,10
142,4
143,9
144,8
145,4
146,8
147,8
148,11
149,4
150,1
151,4
152,3
153,3
154,1
155,1
156,11
157,3
158,3
159,8
160,8
161,11
162,1
163,4
164,8
165,5
166,3
167,1
168,6
169,5
170,7
171,9
172,2
173,8
174,8
175,1
176,1
177,1
178,11
179,8
180,7
181,7
182,8
183,2
184,8
185,3
186,7
187,3
188,4
189,11
190,1
191,11
192,1
193,1
194,7
